station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LFMD,2023-04-19 00:00,50.00,39.20,66.27,10.00,4.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFMD 190000Z AUTO 01004KT 340V050 CAVOK 10/04 Q1016,M
LFMD,2023-04-19 00:30,50.00,39.20,66.27,360.00,4.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,50.00,LFMD 190030Z AUTO 36004KT 320V050 CAVOK 10/04 Q1016,M
LFMD,2023-04-19 01:00,48.20,39.20,70.88,350.00,4.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.34,LFMD 190100Z AUTO 35004KT 310V020 CAVOK 09/04 Q1016,M
LFMD,2023-04-19 01:30,48.20,39.20,70.88,360.00,4.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,46.34,LFMD 190130Z AUTO 36004KT 320V020 CAVOK 09/04 Q1016,M
LFMD,2023-04-19 02:00,48.20,41.00,76.01,360.00,4.00,0.00,30.00,M,6.21,M,BKN,M,M,M,9200.00,M,M,M,M,M,M,M,M,M,M,46.34,LFMD 190200Z AUTO 36004KT 320V040 9999 BKN092 09/05 Q1016,M
LFMD,2023-04-19 02:30,48.20,39.20,70.88,10.00,4.00,0.00,30.00,M,6.21,M,SCT,M,M,M,9200.00,M,M,M,M,M,M,M,M,M,M,46.34,LFMD 190230Z AUTO 01004KT 330V060 9999 SCT092 09/04 Q1016 NOSIG,M
LFMD,2023-04-19 03:00,48.20,41.00,76.01,360.00,4.00,0.00,30.00,M,6.21,M,SCT,M,M,M,9200.00,M,M,M,M,M,M,M,M,M,M,46.34,LFMD 190300Z AUTO 36004KT 320V040 9999 SCT092 09/05 Q1016 NOSIG,M
LFMD,2023-04-19 03:30,48.20,39.20,70.88,360.00,3.00,0.00,30.00,M,6.21,M,SCT,M,M,M,9200.00,M,M,M,M,M,M,M,M,M,M,47.21,LFMD 190330Z AUTO 36003KT 300V030 9999 SCT092 09/04 Q1016 NOSIG,M
LFMD,2023-04-19 04:00,46.40,39.20,75.84,340.00,4.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.24,LFMD 190400Z AUTO 34004KT 310V020 CAVOK 08/04 Q1016 NOSIG,M
LFMD,2023-04-19 04:30,46.40,39.20,75.84,350.00,4.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.24,LFMD 190430Z AUTO 35004KT 320V030 CAVOK 08/04 Q1016 NOSIG,M
LFMD,2023-04-19 05:00,46.40,39.20,75.84,350.00,5.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,43.50,LFMD 190500Z AUTO 35005KT 320V030 CAVOK 08/04 Q1016 NOSIG,M
LFMD,2023-04-19 05:30,48.20,41.00,76.01,360.00,5.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,45.63,LFMD 190530Z AUTO 36005KT 310V040 CAVOK 09/05 Q1016 NOSIG,M
LFMD,2023-04-19 06:00,51.80,41.00,66.48,360.00,6.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,51.80,LFMD 190600Z AUTO 36006KT 310V030 CAVOK 11/05 Q1016 NOSIG,M
LFMD,2023-04-19 06:30,55.40,42.80,62.46,350.00,4.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,55.40,LFMD 190630Z AUTO 35004KT 300V030 CAVOK 13/06 Q1016 BECMG 17010KT,M
LFMD,2023-04-19 07:00,59.00,42.80,54.86,350.00,3.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,LFMD 190700Z AUTO 35003KT 250V040 CAVOK 15/06 Q1015 BECMG 17010KT,M
LFMD,2023-04-19 07:30,64.40,44.60,48.55,M,3.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,LFMD 190730Z AUTO VRB03KT CAVOK 18/07 Q1015 NOSIG,M
LFMD,2023-04-19 08:00,69.80,41.00,35.09,0.00,0.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,LFMD 190800Z AUTO 00000KT CAVOK 21/05 Q1015 BECMG 17010KT,M
LFMD,2023-04-19 08:30,68.00,48.20,49.10,140.00,4.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,LFMD 190830Z AUTO 14004KT 090V180 CAVOK 20/09 Q1015 NOSIG,M
LFMD,2023-04-19 09:00,68.00,46.40,45.88,150.00,4.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,LFMD 190900Z AUTO 15004KT 090V190 CAVOK 20/08 Q1015 NOSIG,M
